url,reason,details
https://perucheck.pe/articles/verificadas/2021/02/15/perucheck-una-alianza-para-enfrentar-la-desinformacion-47,meta_explainer,Meta/explicador page: perucheck-una-alianza-para-enfrentar-la-desinformacion-47
https://perucheck.pe/articles/verificadas/2021/03/11/perucheck-recibe-apoyo-de-facebook-journalism-project-101,meta_explainer,Meta/explicador page: perucheck-recibe-apoyo-de-facebook-journalism-project-101
https://perucheck.pe/articles/verificadas/2021/09/06/explicador-que-significa-que-el-peru-bajara-del-grado-a3-a-baa1-en-el-ranking-de-riesgo-de-moody-s-450,meta_explainer,Meta/explicador page: explicador-que-significa-que-el-peru-bajara-del-grado-a3-a-baa1-en-el-ranking-de-riesgo-de-moody-s-450
https://perucheck.pe/articles/verificadas/2021/11/05/hasta-pronto-518,missing_rating,Claim: ¡HASTA PRONTO!...
https://perucheck.pe/articles/verificadas/2022/09/02/explicador-pueden-postular-deudores-de-alimentos-a-las-elecciones-regionales-y-municipales-573,meta_explainer,Meta/explicador page: explicador-pueden-postular-deudores-de-alimentos-a-las-elecciones-regionales-y-municipales-573
https://perucheck.pe/articles/verificadas/2022/10/04/explicador-excandidatos-denuncian-fraude-porque-no-figuraron-en-las-cedulas-por-que-sucedio-esto-642,meta_explainer,Meta/explicador page: explicador-excandidatos-denuncian-fraude-porque-no-figuraron-en-las-cedulas-por-que-sucedio-esto-642
https://perucheck.pe/articles/verificadas/2022/10/06/explicador-el-reingreso-en-bloque-de-6-candidatos-de-app-en-pasco-646,meta_explainer,Meta/explicador page: explicador-el-reingreso-en-bloque-de-6-candidatos-de-app-en-pasco-646
https://perucheck.pe/articles/verificadas/2022/10/11/explicador-por-que-se-declararon-nulas-las-elecciones-en-lince-650,meta_explainer,Meta/explicador page: explicador-por-que-se-declararon-nulas-las-elecciones-en-lince-650
https://perucheck.pe/articles/verificadas/2022/10/21/explicador-es-posible-que-los-colaboradores-eficaces-reciban-beneficios-economicos-665,meta_explainer,Meta/explicador page: explicador-es-posible-que-los-colaboradores-eficaces-reciban-beneficios-economicos-665
https://perucheck.pe/articles/verificadas/ayacucho/2022/10/25/explicador-el-uso-de-las-monedas-cuando-hay-empate-en-la-elecciones-municipales-667,meta_explainer,Meta/explicador page: explicador-el-uso-de-las-monedas-cuando-hay-empate-en-la-elecciones-municipales-667
https://perucheck.pe/articles/verificadas/lima/2022/10/20/explicador-que-significa-que-el-alcalde-de-san-isidro-haya-declarado-al-presidente-castillo-persona-no-grata-661,meta_explainer,Meta/explicador page: explicador-que-significa-que-el-alcalde-de-san-isidro-haya-declarado-al-presidente-castillo-persona-no-grata-661
https://perucheck.pe/articles/verificadas/lima/2022/10/29/explicador-el-fascismo-es-la-expresion-nacionalista-del-socialismo-bolchevique-como-afirmo-munante-670,meta_explainer,Meta/explicador page: explicador-el-fascismo-es-la-expresion-nacionalista-del-socialismo-bolchevique-como-afirmo-munante-670
https://perucheck.pe/articles/verificadas/somos-peru/2026/02/16/cusco-tuvo-un-presupuesto-de-aproximadamente-s950-millones-para-invertir-en-obras-el-ano-pasado-como-dijo-el-candidato-herbe-olave-531405,missing_rating,Claim: Cusco tuvo un presupuesto de aproximadamente S/.95...
https://perucheck.pe/articles/verificadas/tumbes/2022/10/21/explicador-se-pueden-proclamar-a-candidatos-electos-con-sentencias-judiciales-664,meta_explainer,Meta/explicador page: explicador-se-pueden-proclamar-a-candidatos-electos-con-sentencias-judiciales-664
https://perucheck.pe/articles/verificadas/ucayali/2022/10/05/explicador-por-que-el-candidato-al-gobierno-regional-de-ucayali-edwin-vasquez-no-aparecio-en-las-cedulas-de-votacion-644,meta_explainer,Meta/explicador page: explicador-por-que-el-candidato-al-gobierno-regional-de-ucayali-edwin-vasquez-no-aparecio-en-las-cedulas-de-votacion-644
https://perucheck.pe/verificadas/2026/05/05/la-diferencia-de-votos-de-sanchez-entre-eleccion-presidencial-y-de-diputados-no-demuestra-que-se-le-haya-inflado-469495,fetch_error,Failed to fetch HTML
https://perucheck.pe/verificadas/2026/05/05/las-actas-con-serie-900-apuntan-a-cometer-un-fraude-electoral-es-falsa-la-declaracion-de-lopez-aliaga-449230,fetch_error,Failed to fetch HTML
https://perucheck.pe/verificadas/2026/05/07/se-encontraron-cedulas-de-votacion-en-lince-292752,fetch_error,Failed to fetch HTML
https://perucheck.pe/verificadas/alianza-para-el-progreso/2026/05/07/app-anuncio-que-no-participara-en-las-elecciones-regionales-y-municipales-2026-es-falso-191576,fetch_error,Failed to fetch HTML
https://perucheck.pe/verificadas/juntos-por-el-peru/2026/05/04/antauro-humala-si-se-refirio-hace-poco-sobre-rescatar-la-religiosidad-andina-34557,fetch_error,Failed to fetch HTML
https://perucheck.pe/verificadas/pais-para-todos/2026/05/11/pais-para-todos-asegura-que-ha-logrado-obtener-representacion-en-el-congreso-436400,fetch_error,Failed to fetch HTML
https://perucheck.pe/verificadas/renovacion-popular/2026/05/06/no-maria-corina-machado-no-se-pronuncio-sobre-un-robo-de-votos-en-el-peru-como-afirmo-lopez-aliaga-452094,fetch_error,Failed to fetch HTML
https://perucheck.pe/verificadas/renovacion-popular/2026/05/08/lopez-aliaga-no-redujo-la-anemia-de-70-a-30-en-lima-metropolitana-663740,fetch_error,Failed to fetch HTML
https://perucheck.pe/verificadas/renovacion-popular/2026/05/11/lopez-aliaga-afirma-que-las-mesas-de-la-serie-900-no-tienen-base-legal-275800,fetch_error,Failed to fetch HTML
